date,id,system_time_start
2020-04-02,20200402T185919_20200402T190847_T11TLL_2020_04_02,2020-04-02 19:11:36.440
2020-04-02,20200402T185919_20200402T190847_T11TLM_2020_04_02,2020-04-02 19:11:26.654
2020-04-06,20200406T183919_20200406T184617_T11TLM_2020_04_06,2020-04-06 18:51:37.129
2020-04-07,20200407T185911_20200407T190323_T10TCM_2020_04_07,2020-04-07 19:12:57.957
2020-04-07,20200407T185911_20200407T190323_T10TCN_2020_04_07,2020-04-07 19:12:43.848
2020-04-07,20200407T185911_20200407T190323_T10TDM_2020_04_07,2020-04-07 19:12:54.665
2020-04-07,20200407T185911_20200407T190323_T10TDQ_2020_04_07,2020-04-07 19:12:11.218
2020-04-07,20200407T185911_20200407T190323_T10TEN_2020_04_07,2020-04-07 19:12:36.545
2020-04-07,20200407T185911_20200407T190323_T10TEP_2020_04_07,2020-04-07 19:12:22.129
2020-04-07,20200407T185911_20200407T190323_T10TEQ_2020_04_07,2020-04-07 19:12:07.645
2020-04-07,20200407T185911_20200407T190323_T10TFN_2020_04_07,2020-04-07 19:12:32.445
2020-04-07,20200407T185911_20200407T190323_T10TFP_2020_04_07,2020-04-07 19:12:18.016
2020-04-07,20200407T185911_20200407T190323_T10TFQ_2020_04_07,2020-04-07 19:12:03.891
2020-04-08,20200408T182921_20200408T183230_T11TNH_2020_04_08,2020-04-08 18:42:24.691
2020-04-08,20200408T182921_20200408T183230_T11TNJ_2020_04_08,2020-04-08 18:42:14.283
2020-04-08,20200408T182921_20200408T183230_T11TNK_2020_04_08,2020-04-08 18:41:59.382
2020-04-08,20200408T182921_20200408T184221_T11TMG_2020_04_08,2020-04-08 18:42:46.996
2020-04-08,20200408T182921_20200408T184221_T11TMH_2020_04_08,2020-04-08 18:42:35.253
2020-04-08,20200408T182921_20200408T184221_T11TNG_2020_04_08,2020-04-08 18:42:43.305
2020-04-08,20200408T182921_20200408T184221_T11TNH_2020_04_08,2020-04-08 18:42:31.538
2020-04-09,20200409T184919_20200409T185959_T10TEM_2020_04_09,2020-04-09 19:02:52.888
2020-04-09,20200409T184919_20200409T185959_T10TEN_2020_04_09,2020-04-09 19:02:39.071
2020-04-09,20200409T184919_20200409T185959_T10TEP_2020_04_09,2020-04-09 19:02:27.327
2020-04-09,20200409T184919_20200409T185959_T10TFM_2020_04_09,2020-04-09 19:02:49.999
2020-04-09,20200409T184919_20200409T185959_T10TFN_2020_04_09,2020-04-09 19:02:35.433
2020-04-09,20200409T184919_20200409T185959_T10TFP_2020_04_09,2020-04-09 19:02:20.965
2020-04-09,20200409T184919_20200409T185959_T10TFQ_2020_04_09,2020-04-09 19:02:06.295
2020-04-09,20200409T184919_20200409T185959_T10TFR_2020_04_09,2020-04-09 19:01:51.390
2020-04-09,20200409T184919_20200409T185959_T10TFS_2020_04_09,2020-04-09 19:01:36.781
2020-04-09,20200409T184919_20200409T185959_T10TGM_2020_04_09,2020-04-09 19:02:46.752
2020-04-09,20200409T184919_20200409T185959_T10TGN_2020_04_09,2020-04-09 19:02:32.324
2020-04-09,20200409T184919_20200409T185959_T10TGP_2020_04_09,2020-04-09 19:02:17.752
2020-04-09,20200409T184919_20200409T185959_T10TGQ_2020_04_09,2020-04-09 19:02:03.157
2020-04-09,20200409T184919_20200409T185959_T10TGR_2020_04_09,2020-04-09 19:01:48.614
2020-04-09,20200409T184919_20200409T185959_T10TGS_2020_04_09,2020-04-09 19:01:33.863
2020-04-09,20200409T184919_20200409T185959_T11TKG_2020_04_09,2020-04-09 19:02:46.788
2020-04-09,20200409T184919_20200409T185959_T11TLG_2020_04_09,2020-04-09 19:02:42.318
2020-04-09,20200409T184919_20200409T185959_T11TLH_2020_04_09,2020-04-09 19:02:27.820
2020-04-09,20200409T184919_20200409T185959_T11TLJ_2020_04_09,2020-04-09 19:02:13.876
2020-04-09,20200409T184919_20200409T185959_T11TLK_2020_04_09,2020-04-09 19:01:59.734
2020-04-09,20200409T184919_20200409T185959_T11TLL_2020_04_09,2020-04-09 19:01:45.514
2020-04-09,20200409T184919_20200409T185959_T11TLM_2020_04_09,2020-04-09 19:01:31.190
2020-04-09,20200409T184919_20200409T185959_T11TMH_2020_04_09,2020-04-09 19:02:18.901
2020-04-09,20200409T184919_20200409T185959_T11TMJ_2020_04_09,2020-04-09 19:02:08.672
2020-04-09,20200409T184919_20200409T185959_T11TMK_2020_04_09,2020-04-09 19:01:55.378
2020-04-09,20200409T184919_20200409T185959_T11TML_2020_04_09,2020-04-09 19:01:40.824
2020-04-09,20200409T184919_20200409T185959_T11TMM_2020_04_09,2020-04-09 19:01:26.679
2020-04-09,20200409T184919_20200409T185959_T11TNM_2020_04_09,2020-04-09 19:01:20.426
2020-04-10,20200410T190911_20200410T191618_T10TEP_2020_04_10,2020-04-10 19:22:15.014
2020-04-10,20200410T190911_20200410T191618_T10TEQ_2020_04_10,2020-04-10 19:22:04.058
2020-04-10,20200410T190911_20200410T191618_T10TER_2020_04_10,2020-04-10 19:21:50.293
